retailer,product_name,url,url_quality,variant_match
Nordstrom,Peachy Deo,https://www.nordstrom.com/s/the-peachy-deo-skin-care-deodorant/8129222?color=000,pdp,
Nordstrom,Santal Deo,https://www.nordstrom.com/s/the-santal-deodorant/8129221?color=000,pdp,
Nordstrom,Space Bar,https://www.nordstrom.com/s/2-pack-space-bar-detoxifying-charcoal-underarm-bar/7154724?color=002,pdp,
Nordstrom,Chest-o Presto,https://www.nordstrom.com/brands/megababe--20023,brand_page,
Nordstrom,Ball Deo,https://www.nordstrom.com/s/megaman-the-ball-deo-deodorant/7956083?color=000,pdp,
Nordstrom,Bidet Bar,https://www.nordstrom.com/s/bidet-bar-ph-balanced-intimate-cleansing-bar/7956086?color=000,pdp,
Nordstrom,Blade Bar,https://www.nordstrom.com/s/megababe-blade-bar-shaving-bar-enriched-with-shea-butter/7956084?color=000,pdp,
Nordstrom,Smoothie Deo,https://www.nordstrom.com/s/the-smoothie-deo-aluminum-free-deodorant/6978499?color=000,pdp,
Nordstrom,Coco Deo,https://www.nordstrom.com/s/the-coco-deo-skin-care-deodorant/8129209?color=000,pdp,
Nordstrom,Body Dust,https://www.nordstrom.com/s/megababe-body-dust-talc-free-powder/5431824?color=650,pdp,
Nordstrom,Dust Puff,https://www.nordstrom.com/s/megababe-dust-puff/6433972?color=650,pdp,
Nordstrom,Pro Deo,https://www.nordstrom.com/s/megaman-the-pro-deo-deodorant/7956085?color=000,pdp,
Nordstrom,Raising the Bar Gift Set,https://www.nordstrom.com/s/megababe-raising-the-bar-do-it-all-soap-set-32-value/8527712?color=000,pdp,
Nordstrom,Deo Duo Gift Set,https://www.nordstrom.com/s/megababe-deo-duo-best-smelling-deodorant-set-28-value-nordstrom-exclusive/8497256?color=000,pdp,
Gee Beauty,Rosy Pits,https://geebeauty.ca/products/rosy-pits?option_values=117817540666,pdp,Original
Gee Beauty,Rosy Pits Mini,https://geebeauty.ca/products/rosy-pits?option_values=117817573434,pdp,Mini
Gee Beauty,Thigh Rescue,https://geebeauty.ca/products/thigh-rescue,pdp,Original
Gee Beauty,Thigh Rescue Mini,https://geebeauty.ca/products/thigh-rescue?option_values=117782413370,pdp,Mini
Gee Beauty,Smoothie Deo,https://geebeauty.ca/products/the-smoothie-deo,pdp,Original
Gee Beauty,Smoothie Deo Mini,https://geebeauty.ca/products/the-smoothie-deo?option_values=120379834426,pdp,Mini
Gee Beauty,Bust Dust,https://geebeauty.ca/products/bust-dust,pdp,
Gee Beauty,Sunny Pits,https://geebeauty.ca/products/sunny-pits,pdp,
Gee Beauty,Beachy Pits,https://geebeauty.ca/products/copy-of-beachy-pits,pdp,
Gee Beauty,Soapy Pits,https://geebeauty.ca/products/copy-of-rosy-pits,pdp,
Gee Beauty,Body Dust,https://geebeauty.ca/products/body-dust,pdp,
Gee Beauty,Green Deo,https://geebeauty.ca/products/the-green-deo,pdp,
Gee Beauty,Space Bar,https://geebeauty.ca/products/space-bar-underarm-soap,pdp,
Gee Beauty,Happy Pits,https://geebeauty.ca/products/happy-pits,pdp,
Gee Beauty,Megafresh Wipes,https://geebeauty.ca/products/megafresh-wipes,pdp,
Gee Beauty,Shower Sheets,https://geebeauty.ca/products/cucumber-mint-shower-sheets,pdp,
Gee Beauty,Glow Deo,https://geebeauty.ca/products/the-glow-deo,pdp,
